jd_id,cr_id,cr_category,jd_name,primary_skills_sim,secondary_skills_sim,adjectives_sim,total_similarity,suitability,total_similarity_v2,adj_weight_log,total_similarity_v3,suitability_label
JOB_0,CANDIDATE_0,Data Science,MLops Engineer,0.10869565217391304,0.3333333333333333,0.0,0.44202898550724634,1,0.44202898550724634,3.6635616461296463,0.44202898550724634,Most Suitable
JOB_0,CANDIDATE_1,Data Science,MLops Engineer,0.14285714285714285,0.0,0.0,0.14285714285714285,1,0.14285714285714285,1.0986122886681098,0.14285714285714285,Moderately Suitable
JOB_0,CANDIDATE_2,Data Science,MLops Engineer,0.14814814814814814,0.1111111111111111,0.0,0.25925925925925924,1,0.25925925925925924,2.5649493574615367,0.25925925925925924,Moderately Suitable
JOB_0,CANDIDATE_3,Data Science,MLops Engineer,0.17142857142857143,0.0,0.044444444444444446,0.33191381199053693,1,0.19163059163059162,3.6109179126442243,0.33191381199053693,Moderately Suitable
JOB_0,CANDIDATE_4,Data Science,MLops Engineer,0.15789473684210525,0.0,0.0,0.15789473684210525,1,0.15789473684210525,0.6931471805599453,0.15789473684210525,Moderately Suitable
JOB_0,CANDIDATE_5,Data Science,MLops Engineer,0.14285714285714285,0.0,0.0,0.14285714285714285,1,0.14285714285714285,1.3862943611198906,0.14285714285714285,Moderately Suitable
JOB_0,CANDIDATE_6,Data Science,MLops Engineer,0.13636363636363635,0.0,0.0,0.13636363636363635,1,0.13636363636363635,2.5649493574615367,0.13636363636363635,Moderately Suitable
JOB_0,CANDIDATE_7,Data Science,MLops Engineer,0.13636363636363635,0.14285714285714285,0.0,0.2792207792207792,1,0.2792207792207792,3.6888794541139363,0.2792207792207792,Moderately Suitable
JOB_0,CANDIDATE_8,Data Science,MLops Engineer,0.06666666666666667,0.0,0.0,0.06666666666666667,0,0.06666666666666667,2.5649493574615367,0.06666666666666667,Not Suitable
JOB_0,CANDIDATE_9,Data Science,MLops Engineer,0.16,0.0,0.0,0.16,1,0.16,3.295836866004329,0.16,Moderately Suitable
JOB_0,CANDIDATE_41,HR,MLops Engineer,0.1,0.0,0.03333333333333333,0.20148408125744743,1,0.10822510822510822,3.044522437723423,0.20148408125744743,Moderately Suitable
JOB_0,CANDIDATE_47,HR,MLops Engineer,0.05,0.0,0.0,0.05,0,0.05,1.6094379124341003,0.05,Not Suitable
JOB_0,CANDIDATE_49,HR,MLops Engineer,0.05555555555555555,0.0,0.06666666666666667,0.1750061868374259,1,0.05901875901875901,1.791759469228055,0.1750061868374259,Moderately Suitable
JOB_0,CANDIDATE_50,HR,MLops Engineer,0.15,0.0,0.0,0.15,1,0.15,2.4849066497880004,0.15,Moderately Suitable
