jd_id,cr_id,cr_category,primary_skills_sim,secondary_skills_sim,adjectives_sim,adj_weight,total_similarity,suitability
JOB_0,CANDIDATE_0,Data Science,0.14814814814814814,0.2857142857142857,0.02040816326530612,43,1.311413454270597,Most Suitable
JOB_0,CANDIDATE_1,Data Science,0.16666666666666666,0.25,0.0,7,0.41666666666666663,Moderately Suitable
JOB_0,CANDIDATE_2,Data Science,0.17647058823529413,0.2222222222222222,0.0,16,0.39869281045751637,Moderately Suitable
JOB_0,CANDIDATE_3,Data Science,0.05555555555555555,0.16666666666666666,0.0,43,0.2222222222222222,Moderately Suitable
JOB_0,CANDIDATE_4,Data Science,0.2,0.0,0.0,1,0.2,Moderately Suitable
JOB_0,CANDIDATE_5,Data Science,0.16666666666666666,0.0,0.0,5,0.16666666666666666,Moderately Suitable
JOB_0,CANDIDATE_6,Data Science,0.18181818181818182,0.0,0.0,16,0.18181818181818182,Moderately Suitable
JOB_0,CANDIDATE_7,Data Science,0.15384615384615385,0.16666666666666666,0.0,41,0.3205128205128205,Moderately Suitable
JOB_0,CANDIDATE_8,Data Science,0.07142857142857142,0.0,0.0,12,0.07142857142857142,Not Suitable
JOB_0,CANDIDATE_9,Data Science,0.1111111111111111,0.0,0.0,31,0.1111111111111111,Moderately Suitable
JOB_0,CANDIDATE_10,Data Science,0.14814814814814814,0.2857142857142857,0.02040816326530612,43,1.311413454270597,Most Suitable
JOB_0,CANDIDATE_11,Data Science,0.16666666666666666,0.25,0.0,7,0.41666666666666663,Moderately Suitable
JOB_0,CANDIDATE_12,Data Science,0.17647058823529413,0.2222222222222222,0.0,16,0.39869281045751637,Moderately Suitable
JOB_0,CANDIDATE_13,Data Science,0.05555555555555555,0.16666666666666666,0.0,43,0.2222222222222222,Moderately Suitable
JOB_0,CANDIDATE_14,Data Science,0.2,0.0,0.0,1,0.2,Moderately Suitable
JOB_0,CANDIDATE_15,Data Science,0.16666666666666666,0.0,0.0,5,0.16666666666666666,Moderately Suitable
JOB_0,CANDIDATE_16,Data Science,0.18181818181818182,0.0,0.0,16,0.18181818181818182,Moderately Suitable
JOB_0,CANDIDATE_17,Data Science,0.15384615384615385,0.16666666666666666,0.0,41,0.3205128205128205,Moderately Suitable
JOB_0,CANDIDATE_18,Data Science,0.07142857142857142,0.0,0.0,12,0.07142857142857142,Not Suitable
JOB_0,CANDIDATE_19,Data Science,0.1111111111111111,0.0,0.0,31,0.1111111111111111,Moderately Suitable
JOB_0,CANDIDATE_20,Data Science,0.14814814814814814,0.2857142857142857,0.02040816326530612,43,1.311413454270597,Most Suitable
JOB_0,CANDIDATE_21,Data Science,0.16666666666666666,0.25,0.0,7,0.41666666666666663,Moderately Suitable
JOB_0,CANDIDATE_22,Data Science,0.17647058823529413,0.2222222222222222,0.0,16,0.39869281045751637,Moderately Suitable
JOB_0,CANDIDATE_23,Data Science,0.05555555555555555,0.16666666666666666,0.0,43,0.2222222222222222,Moderately Suitable
JOB_0,CANDIDATE_24,Data Science,0.2,0.0,0.0,1,0.2,Moderately Suitable
JOB_0,CANDIDATE_25,Data Science,0.16666666666666666,0.0,0.0,5,0.16666666666666666,Moderately Suitable
JOB_0,CANDIDATE_26,Data Science,0.18181818181818182,0.0,0.0,16,0.18181818181818182,Moderately Suitable
JOB_0,CANDIDATE_27,Data Science,0.15384615384615385,0.16666666666666666,0.0,41,0.3205128205128205,Moderately Suitable
JOB_0,CANDIDATE_28,Data Science,0.07142857142857142,0.0,0.0,12,0.07142857142857142,Not Suitable
JOB_0,CANDIDATE_29,Data Science,0.1111111111111111,0.0,0.0,31,0.1111111111111111,Moderately Suitable
JOB_0,CANDIDATE_30,Data Science,0.14814814814814814,0.2857142857142857,0.02040816326530612,43,1.311413454270597,Most Suitable
JOB_0,CANDIDATE_31,Data Science,0.16666666666666666,0.25,0.0,7,0.41666666666666663,Moderately Suitable
JOB_0,CANDIDATE_32,Data Science,0.17647058823529413,0.2222222222222222,0.0,16,0.39869281045751637,Moderately Suitable
JOB_0,CANDIDATE_33,Data Science,0.05555555555555555,0.16666666666666666,0.0,43,0.2222222222222222,Moderately Suitable
JOB_0,CANDIDATE_34,Data Science,0.2,0.0,0.0,1,0.2,Moderately Suitable
JOB_0,CANDIDATE_35,Data Science,0.16666666666666666,0.0,0.0,5,0.16666666666666666,Moderately Suitable
JOB_0,CANDIDATE_36,Data Science,0.18181818181818182,0.0,0.0,16,0.18181818181818182,Moderately Suitable
JOB_0,CANDIDATE_37,Data Science,0.15384615384615385,0.16666666666666666,0.0,41,0.3205128205128205,Moderately Suitable
JOB_0,CANDIDATE_38,Data Science,0.07142857142857142,0.0,0.0,12,0.07142857142857142,Not Suitable
JOB_0,CANDIDATE_39,Data Science,0.1111111111111111,0.0,0.0,31,0.1111111111111111,Moderately Suitable
JOB_0,CANDIDATE_50,HR,0.09090909090909091,0.0,0.0,11,0.09090909090909091,Not Suitable
JOB_0,CANDIDATE_61,HR,0.09090909090909091,0.0,0.0,11,0.09090909090909091,Not Suitable
JOB_0,CANDIDATE_72,HR,0.09090909090909091,0.0,0.0,11,0.09090909090909091,Not Suitable
JOB_0,CANDIDATE_83,HR,0.09090909090909091,0.0,0.0,11,0.09090909090909091,Not Suitable
JOB_0,CANDIDATE_140,Web Designing,0.13333333333333333,0.2,0.0,15,0.33333333333333337,Moderately Suitable
JOB_0,CANDIDATE_141,Web Designing,0.14285714285714285,0.0,0.0,16,0.14285714285714285,Moderately Suitable
JOB_0,CANDIDATE_142,Web Designing,0.13333333333333333,0.2,0.0,15,0.33333333333333337,Moderately Suitable
JOB_0,CANDIDATE_144,Web Designing,0.15384615384615385,0.0,0.0,27,0.15384615384615385,Moderately Suitable
JOB_0,CANDIDATE_145,Web Designing,0.13333333333333333,0.2,0.0,15,0.33333333333333337,Moderately Suitable
JOB_0,CANDIDATE_146,Web Designing,0.14285714285714285,0.0,0.0,16,0.14285714285714285,Moderately Suitable
JOB_0,CANDIDATE_147,Web Designing,0.13333333333333333,0.2,0.0,15,0.33333333333333337,Moderately Suitable
JOB_0,CANDIDATE_149,Web Designing,0.15384615384615385,0.0,0.0,27,0.15384615384615385,Moderately Suitable
JOB_0,CANDIDATE_150,Web Designing,0.13333333333333333,0.2,0.0,15,0.33333333333333337,Moderately Suitable
